GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",6,9,4,6,0,11,0,11,0,11,4,6,0,11,0,11,0,11,2,4,0,11,0,11,0,11,0,11,2,4,0,11,0,11
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",5,6,5,6,0,11,0,11,0,11,4,5,1,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",34,41,19,41,0,11,0,11,0,11,19,41,0,11,0,11,0,11,15,15,0,11,0,11,0,11,8,12,0,11,7,10,0,11
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",24,19,16,16,0,11,0,11,9,14,7,8,0,11,0,11,0,11,8,9,0,11,0,11,0,11,2,4,6,9,0,11,0,11
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",6,6,4,6,0,11,0,11,0,11,2,7,2,4,0,11,0,11,2,4,0,11,0,11,0,11,2,4,0,11,0,11,0,11
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",1,4,1,4,0,11,0,11,0,11,1,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510112100,29510112100,"Census Tract 1121, St. Louis city, Missouri",2770,368,308,118,12,20,0,11,0,11,256,105,40,44,0,11,0,11,2462,340,156,123,153,77,108,66,1709,238,256,85,65,53,15,24
1400000US29510112200,29510112200,"Census Tract 1122, St. Louis city, Missouri",60,34,5,8,0,11,0,11,0,11,5,8,0,11,0,11,0,11,55,35,0,11,0,11,0,11,18,19,37,27,0,11,0,11
1400000US29510112300,29510112300,"Census Tract 1123, St. Louis city, Missouri",23,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,23,26,6,10,0,11,0,11,17,18,0,11,0,11,0,11
