GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Under 6 years,Margin of Error; Income in the past 12 months below poverty level: - Under 6 years,Estimate; Income in the past 12 months below poverty level: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - 12 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - 12 to 17 years,Estimate; Income in the past 12 months below poverty level: - 18 to 59 years,Margin of Error; Income in the past 12 months below poverty level: - 18 to 59 years,Estimate; Income in the past 12 months below poverty level: - 60 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - 60 to 74 years,Estimate; Income in the past 12 months below poverty level: - 75 to 84 years,Margin of Error; Income in the past 12 months below poverty level: - 75 to 84 years,Estimate; Income in the past 12 months below poverty level: - 85 years and over,Margin of Error; Income in the past 12 months below poverty level: - 85 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Under 6 years,Margin of Error; Income in the past 12 months at or above poverty level: - Under 6 years,Estimate; Income in the past 12 months at or above poverty level: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - 12 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - 12 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - 18 to 59 years,Margin of Error; Income in the past 12 months at or above poverty level: - 18 to 59 years,Estimate; Income in the past 12 months at or above poverty level: - 60 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - 60 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - 75 to 84 years,Margin of Error; Income in the past 12 months at or above poverty level: - 75 to 84 years,Estimate; Income in the past 12 months at or above poverty level: - 85 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - 85 years and over
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",1123,204,452,230,21,22,91,78,66,44,237,113,30,25,7,12,0,11,671,185,26,28,29,29,82,59,424,111,53,26,54,21,3,7
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",4521,488,1353,341,140,122,107,71,89,62,796,184,156,92,65,39,0,11,3168,452,114,99,169,158,153,76,1959,336,514,119,204,77,55,35
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",2919,428,1416,376,176,128,221,96,243,123,619,153,137,53,20,15,0,11,1503,308,98,72,60,53,168,114,842,199,271,88,58,31,6,9
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",2346,352,576,331,66,84,33,39,106,97,272,161,44,34,33,36,22,29,1770,372,131,76,70,68,84,60,1171,291,175,71,108,58,31,30
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",2124,237,744,183,54,43,86,44,25,22,455,127,62,36,52,38,10,11,1380,266,108,103,52,39,132,62,820,165,176,54,65,32,27,20
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",2987,446,652,305,13,21,159,104,84,71,391,191,5,11,0,11,0,11,2335,390,150,88,187,144,121,92,1298,308,425,121,141,92,13,15
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",2207,366,620,323,130,172,33,32,72,75,255,130,124,71,6,10,0,11,1587,235,10,20,52,64,113,66,963,172,289,91,108,45,52,41
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",1841,227,473,155,30,28,77,50,46,34,301,98,12,12,7,10,0,11,1368,225,52,40,50,36,68,41,911,197,220,53,63,30,4,6
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",3137,547,842,433,78,81,108,108,205,185,348,164,46,46,52,38,5,10,2295,470,179,151,99,81,162,108,1105,271,471,153,126,75,153,96
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",1937,326,988,279,154,104,158,76,103,52,480,124,68,35,20,17,5,8,949,223,93,61,61,47,71,52,536,133,109,45,66,31,13,16
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",2778,397,856,346,81,84,72,67,19,32,552,235,114,78,9,13,9,14,1922,397,191,117,58,42,149,67,1003,256,375,120,137,60,9,13
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",2281,443,949,333,190,146,107,80,90,67,397,109,116,90,49,41,0,11,1332,403,18,30,56,60,123,105,768,250,220,75,113,61,34,28
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",1916,371,469,181,39,39,50,58,62,54,260,112,27,26,24,20,7,11,1447,350,41,63,86,76,37,36,924,277,214,75,113,41,32,24
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",2115,365,622,358,55,79,110,118,62,58,318,177,54,40,0,11,23,22,1493,265,0,11,35,45,161,101,804,200,260,93,146,63,87,52
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",995,151,362,143,43,36,53,41,32,47,171,74,48,27,15,16,0,11,633,132,49,40,6,10,14,18,294,80,177,44,80,37,13,9
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",1639,289,865,277,100,90,80,50,158,64,453,157,64,58,3,5,7,10,774,163,19,25,23,23,20,20,500,135,177,66,11,12,24,16
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",914,207,482,214,101,133,12,22,76,66,209,81,55,36,17,21,12,19,432,129,6,10,0,11,29,30,280,92,78,40,30,25,9,10
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",1336,209,426,154,0,11,22,32,0,11,292,139,81,52,12,12,19,11,910,218,42,39,69,58,25,18,386,133,266,74,47,27,75,49
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",1357,381,517,329,56,53,107,127,124,133,151,77,55,37,14,13,10,13,840,264,51,41,83,75,54,37,528,191,81,41,38,27,5,9
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",596,119,349,109,11,14,69,55,46,53,177,76,32,26,11,16,3,6,247,94,13,14,43,28,16,23,103,52,28,27,27,20,17,13
1400000US29510112100,29510112100,"Census Tract 1121, St. Louis city, Missouri",1240,372,199,129,0,11,0,11,0,11,147,120,52,64,0,11,0,11,1041,324,66,60,0,11,65,93,809,351,88,77,0,11,13,22
1400000US29510112200,29510112200,"Census Tract 1122, St. Louis city, Missouri",1501,236,607,210,86,70,59,58,80,52,349,102,24,22,5,8,4,7,894,184,57,43,51,51,55,37,587,133,106,40,34,16,4,7
1400000US29510112300,29510112300,"Census Tract 1123, St. Louis city, Missouri",1987,411,920,307,164,109,137,88,128,71,411,116,55,34,5,7,20,19,1067,332,58,66,50,56,102,63,507,175,183,56,133,98,34,21
1400000US29510112400,29510112400,"Census Tract 1124, St. Louis city, Missouri",950,269,192,165,15,31,0,11,22,34,139,122,0,11,16,27,0,11,758,277,0,11,0,11,113,71,547,231,86,64,12,19,0,11
1400000US29510113500,29510113500,"Census Tract 1135, St. Louis city, Missouri",37,52,37,52,9,14,8,12,8,13,12,14,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510114101,29510114101,"Census Tract 1141.01, St. Louis city, Missouri",870,360,175,165,23,41,0,11,0,11,139,149,13,21,0,11,0,11,695,341,36,46,21,35,33,41,459,243,101,94,45,52,0,11
1400000US29510114102,29510114102,"Census Tract 1141.02, St. Louis city, Missouri",116,105,61,60,0,11,0,11,0,11,61,60,0,11,0,11,0,11,55,89,0,11,0,11,0,11,55,89,0,11,0,11,0,11
1400000US29510114200,29510114200,"Census Tract 1142, St. Louis city, Missouri",522,243,115,172,32,60,15,27,0,11,68,89,0,11,0,11,0,11,407,188,0,11,20,32,16,26,359,165,12,23,0,11,0,11
1400000US29510114300,29510114300,"Census Tract 1143, St. Louis city, Missouri",163,144,68,105,25,41,19,30,0,15,24,34,0,15,0,15,0,15,95,106,31,46,0,15,0,15,64,71,0,15,0,15,0,15
1400000US29510115100,29510115100,"Census Tract 1151, St. Louis city, Missouri",355,158,143,106,0,11,11,18,10,18,97,84,9,16,7,11,9,14,212,194,47,43,23,28,64,78,69,62,9,14,0,11,0,11
1400000US29510115200,29510115200,"Census Tract 1152, St. Louis city, Missouri",1394,272,690,260,147,77,144,110,29,30,370,120,0,11,0,11,0,11,704,176,47,48,22,23,19,20,512,150,92,59,12,16,0,11
1400000US29510115300,29510115300,"Census Tract 1153, St. Louis city, Missouri",1680,461,455,274,120,100,43,49,24,33,254,150,14,15,0,15,0,15,1225,370,112,114,60,56,127,118,834,236,77,50,15,17,0,15
1400000US29510115400,29510115400,"Census Tract 1154, St. Louis city, Missouri",806,265,294,156,0,11,0,11,44,43,216,111,34,52,0,11,0,11,512,210,0,11,0,11,81,64,414,168,17,26,0,11,0,11
1400000US29510115500,29510115500,"Census Tract 1155, St. Louis city, Missouri",3543,690,1533,841,149,124,154,131,224,184,979,546,27,34,0,15,0,15,2010,737,33,43,63,81,258,286,1337,516,182,131,137,117,0,15
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",2187,475,1162,428,146,142,268,149,147,101,443,179,158,95,0,11,0,11,1025,397,117,131,0,11,32,53,716,261,148,107,0,11,12,18
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",1656,481,901,464,194,151,177,110,108,94,372,161,32,40,18,29,0,11,755,300,49,68,31,51,52,60,538,204,81,62,4,7,0,11
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",829,243,294,168,78,59,45,55,4,8,152,79,15,16,0,11,0,11,535,189,24,37,15,26,45,34,402,159,39,29,10,14,0,11
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",851,247,290,240,0,11,28,45,52,82,210,142,0,11,0,11,0,11,561,244,62,62,29,47,46,56,385,183,39,46,0,11,0,11
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",683,310,206,144,0,11,27,42,9,15,161,114,0,11,9,15,0,11,477,216,68,90,67,72,47,40,277,94,7,12,11,16,0,11
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",997,241,334,165,26,41,33,39,12,18,263,133,0,11,0,11,0,11,663,230,0,11,11,18,28,32,581,228,32,31,11,18,0,11
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",2871,496,1226,542,381,247,175,160,63,60,561,210,38,32,8,13,0,11,1645,502,104,90,0,11,119,79,1311,429,85,47,21,19,5,8
1400000US29510116500,29510116500,"Census Tract 1165, St. Louis city, Missouri",1615,387,589,307,143,181,26,31,8,13,331,149,81,67,0,11,0,11,1026,286,78,64,0,11,61,83,776,225,97,77,14,18,0,11
1400000US29510117100,29510117100,"Census Tract 1171, St. Louis city, Missouri",264,104,5,7,0,11,0,11,0,11,5,7,0,11,0,11,0,11,259,104,21,29,0,11,17,18,169,79,43,28,9,9,0,11
1400000US29510117200,29510117200,"Census Tract 1172, St. Louis city, Missouri",2443,431,744,363,0,15,42,48,77,68,536,279,25,29,51,73,13,21,1699,402,104,83,97,88,132,104,1125,228,125,77,66,77,50,79
1400000US29510117400,29510117400,"Census Tract 1174, St. Louis city, Missouri",1253,344,215,105,15,23,0,11,11,17,159,91,15,20,7,11,8,14,1038,295,82,75,47,38,113,81,646,160,137,69,13,21,0,11
1400000US29510118100,29510118100,"Census Tract 1181, St. Louis city, Missouri",723,179,269,134,25,27,76,78,8,15,144,61,13,14,3,5,0,11,454,144,35,48,17,19,11,13,325,107,60,30,6,8,0,11
1400000US29510118400,29510118400,"Census Tract 1184, St. Louis city, Missouri",303,67,147,52,0,11,0,11,0,11,91,42,34,25,12,14,10,16,156,60,0,11,0,11,0,11,69,42,74,31,13,16,0,11
1400000US29510118600,29510118600,"Census Tract 1186, St. Louis city, Missouri",1242,361,403,197,22,35,59,58,22,35,239,118,22,23,32,41,7,11,839,293,0,11,85,53,176,172,358,147,188,88,8,12,24,21
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",887,169,331,169,54,90,0,11,0,11,174,92,93,59,10,13,0,11,556,132,0,11,0,11,15,36,250,111,240,104,35,30,16,19
