GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US29510115300,29510115300,"Census Tract 1153, St. Louis city, Missouri",2321,97,0,15,0,15,14,16,46,43,68,61,89,76,170,86,213,94,196,87,1525,116
1400000US29510115400,29510115400,"Census Tract 1154, St. Louis city, Missouri",1408,54,0,11,0,11,0,11,30,35,10,16,64,46,124,75,132,61,224,84,824,112
1400000US29510115500,29510115500,"Census Tract 1155, St. Louis city, Missouri",2921,107,0,15,0,15,0,15,21,26,26,32,111,97,80,63,123,95,205,131,2355,220
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",2931,102,0,11,0,11,45,46,73,55,165,83,456,156,253,139,236,118,175,104,1528,206
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",1811,83,0,11,0,11,0,11,29,37,11,18,22,20,39,29,163,74,106,66,1441,135
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",1812,57,0,11,0,11,18,19,0,11,35,29,48,42,88,66,250,95,350,111,1023,134
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",2364,102,0,11,0,11,70,63,16,25,59,71,17,28,11,18,160,87,131,84,1900,167
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",1613,47,0,11,0,11,26,41,17,20,0,11,0,11,0,11,100,90,30,24,1440,103
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",1594,64,0,11,0,11,0,11,17,19,29,33,24,27,104,74,133,79,60,39,1227,115
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",2523,72,0,11,0,11,81,39,39,40,21,34,52,42,266,118,49,36,112,61,1903,163
1400000US29510116500,29510116500,"Census Tract 1165, St. Louis city, Missouri",2274,77,0,11,0,11,18,20,10,15,18,22,44,40,101,70,160,86,71,48,1852,132
