GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US29510123300,29510123300,"Census Tract 1233, St. Louis city, Missouri",403,108,94,61,309,103
1400000US29510124100,29510124100,"Census Tract 1241, St. Louis city, Missouri",1055,169,274,91,781,154
1400000US29510124200,29510124200,"Census Tract 1242, St. Louis city, Missouri",669,122,114,62,555,121
1400000US29510124300,29510124300,"Census Tract 1243, St. Louis city, Missouri",237,60,68,43,169,69
1400000US29510124600,29510124600,"Census Tract 1246, St. Louis city, Missouri",409,57,60,28,349,60
1400000US29510125500,29510125500,"Census Tract 1255, St. Louis city, Missouri",614,133,68,59,546,125
1400000US29510125600,29510125600,"Census Tract 1256, St. Louis city, Missouri",993,226,0,11,993,226
1400000US29510125700,29510125700,"Census Tract 1257, St. Louis city, Missouri",1415,129,70,51,1345,131
1400000US29510126600,29510126600,"Census Tract 1266, St. Louis city, Missouri",974,131,184,70,790,136
1400000US29510126700,29510126700,"Census Tract 1267, St. Louis city, Missouri",295,71,90,49,205,61
1400000US29510126800,29510126800,"Census Tract 1268, St. Louis city, Missouri",103,48,40,30,63,37
1400000US29510126900,29510126900,"Census Tract 1269, St. Louis city, Missouri",1666,145,1082,135,584,150
1400000US29510127000,29510127000,"Census Tract 1270, St. Louis city, Missouri",519,99,100,49,419,99
1400000US29510127100,29510127100,"Census Tract 1271, St. Louis city, Missouri",818,87,236,59,582,90
1400000US29510127200,29510127200,"Census Tract 1272, St. Louis city, Missouri",328,158,66,51,262,154
1400000US29510127300,29510127300,"Census Tract 1273, St. Louis city, Missouri",962,122,313,91,649,127
1400000US29510127400,29510127400,"Census Tract 1274, St. Louis city, Missouri",1347,168,190,91,1157,172
1400000US29510127500,29510127500,"Census Tract 1275, St. Louis city, Missouri",944,103,11,14,933,99
1400000US29510127600,29510127600,"Census Tract 1276, St. Louis city, Missouri",367,118,42,51,325,123
