GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",553,98,124,80,28,33,18,30,18,30,0,11,0,11,10,15,96,69,32,38,32,38,0,11,0,11,32,38,0,11,64,49,41,37,0,11,11,20,30,33,23,28,429,97,139,73,63,64,0,11,45,59,18,20,76,45,290,81,73,52,16,18,9,14,0,11,7,12,57,50,217,70,92,54,17,20,23,33,52,42,125,62
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",450,65,136,48,24,20,16,18,0,11,7,11,9,14,8,10,112,49,0,11,0,11,0,11,0,11,0,11,0,11,112,49,78,46,8,13,0,11,70,42,34,20,314,67,147,54,73,43,9,10,17,27,47,33,74,40,167,58,27,27,15,23,15,23,0,11,0,11,12,14,140,54,58,29,0,11,8,12,50,26,82,44
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",728,119,176,91,0,11,0,11,0,11,0,11,0,11,0,11,176,91,0,11,0,11,0,11,0,11,0,11,0,11,176,91,176,91,0,11,9,15,167,89,0,11,552,107,285,96,74,56,42,40,24,27,8,14,211,72,267,95,36,38,0,11,0,11,0,11,0,11,36,38,231,88,141,80,0,11,20,22,121,81,90,53
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",521,84,62,50,16,19,10,16,0,11,10,16,0,11,6,10,46,47,0,11,0,11,0,11,0,11,0,11,0,11,46,47,46,47,0,11,33,45,13,21,0,11,459,76,265,71,70,58,11,19,0,11,59,53,195,54,194,64,6,12,0,11,0,11,0,11,0,11,6,12,188,67,93,60,0,11,0,11,93,60,95,53
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",446,73,95,38,6,7,0,11,0,11,0,11,0,11,6,7,89,37,26,30,26,30,0,11,0,11,26,30,0,11,63,34,58,33,0,11,20,22,38,30,5,8,351,72,112,45,33,30,12,14,0,11,21,26,79,35,239,60,38,35,19,30,19,30,0,11,0,11,19,20,201,60,78,42,13,13,12,19,53,35,123,53
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",852,139,229,137,0,11,0,11,0,11,0,11,0,11,0,11,229,137,0,11,0,11,0,11,0,11,0,11,0,11,229,137,217,141,0,11,10,16,207,140,12,18,623,112,166,81,26,39,0,11,0,11,26,39,140,76,457,120,98,106,80,104,0,11,0,11,80,104,18,20,359,112,202,100,72,64,24,30,106,78,157,60
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",456,93,221,76,30,26,16,14,0,11,11,12,5,8,14,23,191,75,34,25,29,23,0,11,0,11,29,23,5,8,157,74,134,69,0,11,98,61,36,33,23,25,235,66,69,31,32,26,6,9,10,16,16,16,37,26,166,59,7,10,0,11,0,11,0,11,0,11,7,10,159,61,121,57,39,35,18,29,64,45,38,22
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",642,124,217,113,65,56,34,44,27,43,7,13,0,11,31,36,152,95,9,14,9,14,0,11,0,11,9,14,0,11,143,92,82,74,19,31,0,11,63,67,61,51,425,102,170,76,70,47,8,13,29,33,33,31,100,60,255,87,16,21,4,10,0,11,0,11,4,10,12,18,239,83,140,66,25,39,41,44,74,47,99,48
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",496,117,176,84,21,32,21,32,0,11,0,11,21,32,0,11,155,85,35,39,35,39,0,11,20,31,15,23,0,11,120,76,104,73,0,11,55,55,49,48,16,25,320,105,105,52,18,21,0,11,0,11,18,21,87,48,215,88,36,30,0,11,0,11,0,11,0,11,36,30,179,84,85,75,0,11,0,11,85,75,94,50
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",470,121,116,66,22,20,22,20,8,13,0,11,14,23,0,11,94,59,7,11,0,11,0,11,0,11,0,11,7,11,87,60,87,60,21,26,0,11,66,56,0,11,354,107,66,42,27,33,0,11,11,22,16,26,39,24,288,106,45,37,0,11,0,11,0,11,0,11,45,37,243,100,67,43,7,12,0,11,60,41,176,91
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",422,103,125,83,10,15,0,11,0,11,0,11,0,11,10,15,115,83,17,25,0,11,0,11,0,11,0,11,17,25,98,78,98,78,0,11,20,31,78,70,0,11,297,80,44,34,5,11,0,11,0,11,5,11,39,32,253,78,11,21,11,21,0,11,0,11,11,21,0,11,242,75,109,71,0,11,0,11,109,71,133,58
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",248,53,86,46,9,9,4,6,0,11,0,11,4,6,5,8,77,45,0,11,0,11,0,11,0,11,0,11,0,11,77,45,71,43,14,22,9,14,48,36,6,7,162,39,71,31,24,19,15,17,0,11,9,10,47,24,91,30,39,24,0,11,0,11,0,11,0,11,39,24,52,26,18,17,12,14,0,11,6,8,34,22
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",330,74,158,62,19,23,19,23,0,11,0,11,19,23,0,11,139,63,30,35,28,34,20,31,0,11,8,11,2,5,109,50,104,48,41,45,5,9,58,34,5,13,172,45,100,40,29,27,17,23,0,11,12,16,71,37,72,40,3,6,0,11,0,11,0,11,0,11,3,6,69,39,9,13,0,11,0,11,9,13,60,36
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",244,68,130,61,9,13,9,13,0,11,0,11,9,13,0,11,121,61,20,26,15,25,0,11,0,11,15,25,5,8,101,56,74,54,8,12,20,32,46,44,27,25,114,50,45,40,25,34,4,7,0,11,21,32,20,17,69,43,37,42,0,11,0,11,0,11,0,11,37,42,32,21,9,12,0,11,0,11,9,12,23,18
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",243,63,53,38,0,11,0,11,0,11,0,11,0,11,0,11,53,38,18,31,18,31,0,11,0,11,18,31,0,11,35,25,5,8,0,11,0,11,5,8,30,25,190,59,69,39,20,24,0,11,0,11,20,24,49,31,121,52,44,37,6,9,0,11,0,11,6,9,38,36,77,42,53,34,6,8,0,11,47,32,24,23
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",336,79,105,63,16,16,4,7,0,11,0,11,4,7,12,14,89,59,0,11,0,11,0,11,0,11,0,11,0,11,89,59,65,60,0,11,34,39,31,42,24,19,231,67,67,39,0,11,0,11,0,11,0,11,67,39,164,61,10,15,0,11,0,11,0,11,0,11,10,15,154,59,110,49,4,7,14,22,92,48,44,31
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",111,26,57,18,0,11,0,11,0,11,0,11,0,11,0,11,57,18,1,4,1,4,0,11,0,11,1,4,0,11,56,19,56,19,0,11,8,11,48,17,0,11,54,28,12,12,4,9,0,11,0,11,4,9,8,9,42,25,6,15,6,15,0,11,0,11,6,15,0,11,36,26,27,22,0,11,5,9,22,22,9,13
1400000US29510112100,29510112100,"Census Tract 1121, St. Louis city, Missouri",658,128,17,23,17,23,11,18,11,18,0,11,0,11,6,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,641,128,481,97,181,63,54,56,61,46,66,39,300,87,160,75,36,43,13,23,13,23,0,11,0,11,23,36,124,81,64,55,0,11,0,11,64,55,60,79
1400000US29510112200,29510112200,"Census Tract 1122, St. Louis city, Missouri",327,60,92,43,13,13,13,13,0,11,8,11,5,8,0,11,79,41,14,22,14,22,0,11,0,11,14,22,0,11,65,36,65,36,6,8,25,25,34,25,0,11,235,54,85,38,56,36,0,11,18,19,38,31,29,20,150,54,20,17,5,8,5,8,0,11,0,11,15,16,130,52,45,32,6,8,11,15,28,25,85,42
1400000US29510112300,29510112300,"Census Tract 1123, St. Louis city, Missouri",407,85,159,63,9,15,9,15,9,15,0,11,0,11,0,11,150,62,9,15,9,15,0,11,0,11,9,15,0,11,141,61,130,61,4,6,62,48,64,44,11,13,248,74,106,45,65,38,5,9,22,29,38,32,41,26,142,57,27,28,0,11,0,11,0,11,0,11,27,28,115,60,20,18,0,11,5,9,15,17,95,55
1400000US29510112400,29510112400,"Census Tract 1124, St. Louis city, Missouri",747,165,63,68,0,11,0,11,0,11,0,11,0,11,0,11,63,68,0,11,0,11,0,11,0,11,0,11,0,11,63,68,28,39,12,26,0,11,16,27,35,58,684,154,624,157,123,89,9,15,0,11,114,89,501,155,60,70,27,42,27,42,27,42,0,11,0,11,0,11,33,47,33,47,0,11,0,11,33,47,0,11
1400000US29510113500,29510113500,"Census Tract 1135, St. Louis city, Missouri",527,73,24,22,16,18,10,14,10,14,0,11,0,11,6,11,8,13,0,11,0,11,0,11,0,11,0,11,0,11,8,13,8,13,0,11,8,13,0,11,0,11,503,76,405,79,124,45,55,44,0,11,69,27,281,73,98,45,10,15,0,11,0,11,0,11,0,11,10,15,88,41,36,24,0,11,0,11,36,24,52,34
1400000US29510114101,29510114101,"Census Tract 1141.01, St. Louis city, Missouri",932,183,108,112,0,11,0,11,0,11,0,11,0,11,0,11,108,112,108,112,108,112,84,112,0,11,24,42,0,11,0,11,0,11,0,11,0,11,0,11,0,11,824,167,483,134,209,103,93,59,0,11,116,97,274,98,341,147,34,41,34,41,0,11,0,11,34,41,0,11,307,146,110,73,21,29,14,27,75,62,197,131
1400000US29510114102,29510114102,"Census Tract 1141.02, St. Louis city, Missouri",892,142,33,37,0,11,0,11,0,11,0,11,0,11,0,11,33,37,19,29,0,11,0,11,0,11,0,11,19,29,14,22,0,11,0,11,0,11,0,11,14,22,859,139,818,138,315,55,113,65,16,21,186,67,503,139,41,40,0,11,0,11,0,11,0,11,0,11,0,11,41,40,26,30,11,18,0,11,15,24,15,27
1400000US29510114200,29510114200,"Census Tract 1142, St. Louis city, Missouri",1138,188,95,65,73,61,62,58,0,11,0,11,62,58,11,18,22,27,10,17,10,17,10,17,0,11,0,11,0,11,12,22,12,22,0,11,12,22,0,11,0,11,1043,200,793,176,200,110,52,50,22,35,126,86,593,137,250,127,79,63,33,45,0,11,0,11,33,45,46,42,171,110,90,95,20,38,0,11,70,87,81,59
1400000US29510114300,29510114300,"Census Tract 1143, St. Louis city, Missouri",1304,140,47,39,0,15,0,15,0,15,0,15,0,15,0,15,47,39,13,22,0,15,0,15,0,15,0,15,13,22,34,33,34,33,0,15,22,35,12,19,0,15,1257,141,1058,146,457,113,187,84,104,65,166,86,601,128,199,77,50,42,50,42,21,33,0,15,29,26,0,15,149,72,47,42,0,15,0,15,47,42,102,64
